Unnamed: 0,id,text,keyword,url,raw_text,_input_hash,_task_hash,sentiment,annotator,annotation_id
854,857,"Przez lata zbyt niewielu było gotowych zakwestionować konsensus w sprawie polityki zagranicznej Waszyngtonu . Nie Bernie Sanders . W Arabii Saudyjskiej , Jemenie , handlu , Wenezueli itp . Bernie wstał i przemówił , gdy inni tego nie zrobili . Cieszę się , że wrócił do Senatu i sprawił",polityki zagranicznej,http://twitter.com/grazynajunikiew/statuses/1248007717442056192,"Przez lata zbyt niewielu było gotowych zakwestionować konsensus w sprawie polityki zagranicznej Waszyngtonu. Nie Bernie Sanders.W Arabii Saudyjskiej, Jemenie, handlu, Wenezueli itp. Bernie wstał i przemówił, gdy inni tego nie zrobili.Cieszę się, że wrócił do Senatu i sprawił",1003446167,-1858189382,Positive,kaczmars@gmail.com,855
676,679,"ale rzygam już tym nauczaniem zdalnym , chcę wrócić do pracy i normalnie prowadzić zajęcia z dzieciakami , bo tu dwoję się i troję żeby znaleźć albo zrobić odpowiednie rzeczy , a większość rodziców nawet tego nie ruszy i mam wrażenie , że moja praca nie ma sensu",nauczaniem zdalnym,http://twitter.com/rirismycocaine/statuses/1246884903314169859,"ale rzygam już tym nauczaniem zdalnym, chcę wrócić do pracy i normalnie prowadzić zajęcia z dzieciakami, bo tu dwoję się i troję żeby znaleźć albo zrobić odpowiednie rzeczy, a większość rodziców nawet tego nie ruszy i mam wrażenie, że moja praca nie ma sensu",2022149019,-990815039,Negative,kaczmars@gmail.com,677
661,664,#KoronawirusWPolsce #politycySolidarni Proponuje żeby sejm i senat obniżył swoje uposażenie do minimalnej krajowej na znak solidarności ze społeczeństwem w tym trudnym czasie . Podajcie dalej .,minimalnej,http://twitter.com/komloferka/statuses/1244262468588838913,#KoronawirusWPolsce #politycySolidarni Proponuje żeby sejm i senat obniżył swoje uposażenie do minimalnej krajowej na znak solidarności ze społeczeństwem w tym trudnym czasie. Podajcie dalej.,1607489582,1247602808,Neutral,kaczmars@gmail.com,662
1191,1194,"Biskup Dec znowu obraża z ambony : \ "" Zło idzie z Zachodu , przynosząc seksualizację dzieci , związki partnerskie i gender \ "" https://wroclaw.wyborcza.pl/wroclaw/7,35771,24697429.html …",związki partnerskie,http://twitter.com/WalSzat/statuses/1243880714392788995,"Biskup Dec znowu obraża z ambony: \""Zło idzie z Zachodu, przynosząc seksualizację dzieci, związki partnerskie i gender\""https://wroclaw.wyborcza.pl/wroclaw/7,35771,24697429.html …",58313124,294941599,Negative,kaczmars@gmail.com,1192
1514,1517,"kościól do którego chodzę zebrał już 56 tys zł na walke z koronawirusem , , , awesome",kościól,http://twitter.com/triplegolld/statuses/1247976524021747719,"kościól do którego chodzę zebrał już 56 tys zł na walke z koronawirusem,,,awesome",-2077364788,1609484969,Positive,kaczmars@gmail.com,1515
498,501,"@jakub_szymczuk @AndrzejDuda Ściskają ręce , które dają 500 + .",500+,http://twitter.com/endek_pl/statuses/1225410988951973893,"@jakub_szymczuk @AndrzejDuda Ściskają ręce, które dają 500+. ",1660538124,52305992,Negative,kaczmars@gmail.com,499
492,495,@AgencjaBadanMed ogłasza drugą edycję konkursu na działalność badawczo - rozwojową w zakresie niekomercyjnych badań klinicznych w ramach Planu Rozwoju Badań Klinicznych oraz Narodowej Strategii Onkologicznej . Zapraszamy do składania wniosków ! https://twitter.com/AgencjaBadanMed/status/1234432197085614080 …, strategii onkologicznej,http://twitter.com/R_Sierpinski/statuses/1234433231518412805,@AgencjaBadanMed ogłasza drugą edycję konkursu na działalność badawczo - rozwojową w zakresie niekomercyjnych badań klinicznych w ramach Planu Rozwoju Badań Klinicznych oraz Narodowej Strategii Onkologicznej. Zapraszamy do składania wniosków! https://twitter.com/AgencjaBadanMed/status/1234432197085614080 …,1091143223,1743378183,Positive,kaczmars@gmail.com,493
324,327,"Już większość Waszych poprawek odnośnie służby zdrowia , firm i kodeksu wyborczego zostało głosami PiSu odrzucone !",służby zdrowia,http://twitter.com/Radomianin47/statuses/1245029711857758209,"Już większość Waszych poprawek odnośnie służby zdrowia,firm i kodeksu wyborczego zostało głosami PiSu odrzucone!",-934850156,540034282,Neutral,kaczmars@gmail.com,325
212,215,"@dariuszw13 @SamuelGrub @piotr_chylinski @Pan_OO_Paniscus @voyage_repete @KonradAlbert1 @Marcin30217254 @franciszek_bak @dynamiczne @AJehowy @KrisNY12 @PawelJalocha @MartiMar123456 @jarek210 @7awbreaker @johnxanier @perlyswietlne @JolkaPiasecka @andrz3jc @JanNowak2019 @Morti39107226 @ejdzejblip @Tessi777 @DanJanDob @pro_ton1 @aretaheb1 @Citeaux333 @G_Garbicz @Urzekotka @48Yanii @MonikaM1987 @Siplas_62 @Elinoor2 @leskow666 @w84u6 @Norberto_BCN @DzieciKsiezy @boring_kicek @MarnyPo @MocekPawel @inviolatus @lexiss0226 @BartosinskiRAV @xmslyz @soboltajgowy @kolter_hugh @niedzwiedzki_m @_Dumny_ @anonymu97991181 @RationalRiot Ulubiony temat aborcji . Rozumiem . Większość chce zasiadać w ławach poselskich , najlepiej do końca swych dni . A zaostrzenie prawa aborcyjnego wyrzuciłoby ich z tych ław bezpowrotnie . Między innymi przez wyborców katolików . Rozumie pan termin deklaratywna religijność chyba .",prawa aborcyjnego,http://twitter.com/guzik_magdalena/statuses/1245693813764567046,"@dariuszw13 @SamuelGrub @piotr_chylinski @Pan_OO_Paniscus @voyage_repete @KonradAlbert1 @Marcin30217254 @franciszek_bak @dynamiczne @AJehowy @KrisNY12 @PawelJalocha @MartiMar123456 @jarek210 @7awbreaker @johnxanier @perlyswietlne @JolkaPiasecka @andrz3jc @JanNowak2019 @Morti39107226 @ejdzejblip @Tessi777 @DanJanDob @pro_ton1 @aretaheb1 @Citeaux333 @G_Garbicz @Urzekotka @48Yanii @MonikaM1987 @Siplas_62 @Elinoor2 @leskow666 @w84u6 @Norberto_BCN @DzieciKsiezy @boring_kicek @MarnyPo @MocekPawel @inviolatus @lexiss0226 @BartosinskiRAV @xmslyz @soboltajgowy @kolter_hugh @niedzwiedzki_m @_Dumny_ @anonymu97991181 @RationalRiot Ulubiony temat aborcji. Rozumiem. Większość chce zasiadać w ławach poselskich, najlepiej do końca swych dni. A zaostrzenie prawa aborcyjnego wyrzuciłoby ich z tych ław bezpowrotnie. Między innymi przez wyborców katolików.Rozumie pan termin deklaratywna religijność chyba.",469689095,-1107215897,Negative,kaczmars@gmail.com,213
195,198,"Nie było sensu liczyć się na marszach KOD u , bo sprawy konstytucyjne czy nieopublikowanie wyroków mało kogo obchodziło . Kasa była , bezrobocie malało , pensja minimalna rosła . A teraz będzie zupełnie inaczej .",pensja minimalna,http://twitter.com/jkukucz/statuses/1247271607833419778,"Nie było sensu liczyć się na marszach KOD u , bo sprawy konstytucyjne czy nieopublikowanie wyroków mało kogo obchodziło. Kasa była, bezrobocie malało, pensja minimalna rosła. A teraz będzie zupełnie inaczej.",-512775106,-1775635388,Neutral,kaczmars@gmail.com,196
1704,1707,"@MistrzMariusz @malpawzielonym Bo jak sie zastanowić , to w KRK powstał kompletnie niezależny od Boga ( Słowa ) , ST system . Od chrztu nieświadomych noworodków , poprzez związanie ich \ "" kapłanskimi \ "" \ "" sakramentami \ "" , Kościól * dla grzeszników \ "" , aż po nieistniejący CZYŚCIEC , odpusty i apokryficzne modlitwy za zmarłych",kościól,http://twitter.com/ColgatesBilly/statuses/1248880685563236352,"@MistrzMariusz @malpawzielonym Bo jak sie zastanowić, to w KRK powstał kompletnie niezależny od Boga (Słowa), ST system. Od chrztu nieświadomych noworodków, poprzez związanie ich \""kapłanskimi\"" \""sakramentami\"", Kościól *dla grzeszników\"", aż po nieistniejący CZYŚCIEC, odpusty i apokryficzne modlitwy za zmarłych",-1434427339,1746286075,Neutral,kaczmars@gmail.com,1705
1703,1706,"To Cię zmartwie , albo i skołuję Otóz , katolicki oznacza POWSZECHNY ( zawłaszczone przez RZYMSKO-k ) To Kościól Jezusa , CHRZEŚCIJAŃSKI i jest ciałem duchowym w którym ZYJĄ ( jeśli żyją wg , Jego Słowa ) wszyscy UCZNIOWIE Chrystusa , ze wszystkich denominacji chrześcijańskich w tym z KRK",kościól,http://twitter.com/ColgatesBilly/statuses/1244940314697138178,"To Cię zmartwie, albo i skołuję Otóz, katolicki oznacza POWSZECHNY (zawłaszczone przez RZYMSKO-k) To Kościól Jezusa, CHRZEŚCIJAŃSKI i jest ciałem duchowym w którym ZYJĄ (jeśli żyją wg, Jego Słowa) wszyscy UCZNIOWIE Chrystusa, ze wszystkich denominacji chrześcijańskich w tym z KRK",-592655075,1468543521,Neutral,kaczmars@gmail.com,1704
1702,1705,"@MarekWitkowsk14 @yyaann17 Bo jak sie zastanowić , to w KRK powstał kompletnie niezależny od Boga ( Słowa ) , ST system . Od chrztu nieświadomych noworodków , poprzez związanie ich \ "" kapłanskimi \ "" \ "" sakramentami \ "" , Kościól * dla grzeszników \ "" , aż po nieistniejący CZYŚCIEC , odpusty i apokryficzne modlitwy za zmarłych",kościól,http://twitter.com/ColgatesBilly/statuses/1248917208916463616,"@MarekWitkowsk14 @yyaann17 Bo jak sie zastanowić, to w KRK powstał kompletnie niezależny od Boga (Słowa), ST system. Od chrztu nieświadomych noworodków, poprzez związanie ich \""kapłanskimi\"" \""sakramentami\"", Kościól *dla grzeszników\"", aż po nieistniejący CZYŚCIEC, odpusty i apokryficzne modlitwy za zmarłych",-1118765093,-873217401,Neutral,kaczmars@gmail.com,1703
